SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0207-BX23,1784980600.0,35.0,32.41092,-0.06268,1235.42,139.15,BX23,Q0207,24.02,0.34,0.86,yes,-2.0,2.179,-1.0,GAL,"m10,y1; z from y1",Q0207-BX23,2.179,,,,,,,,,,,
Q0207-BX230,2382439700.0,11.0,32.49902,-0.09514,681.15,1639.43,BX230,Q0207,24.62,0.3,0.9,yes,2.306,-2.0,2.3014,GAL,zneb msfr jhk1 oct15; nz; m10,Q0207-BX230,2.3014,,,,,,,,,,,
Q0207-BX236,11888612000.0,23.0,32.47222,-0.05225,1410.57,1184.27,BX236,Q0207,24.09,0.47,0.74,yes,-1.0,-1.0,2.1169,GAL,"rk_H,K; zneb only, mosfire 2012oct, 2015oct",Q0207-BX236,2.1169,,,,,,,,,,,
Q0207-BX238,15476409000.0,15.0,32.49966,-0.06061,1267.66,1651.61,BX238,Q0207,23.79,0.21,0.7,yes,-2.0,-2.0,2.0406,GAL,"rk_H,K; y1[ap2]; z corrected 10/25/12 based on zneb, mosfire 2012oct",Q0207-BX238,2.0406,,,,,,,,,,,
Q0207-BX240,4921460200.0,12.0,32.496,-0.09136,745.46,1588.1,BX240,Q0207,23.92,0.2,0.42,yes,1.99,1.983,1.986,GAL,"msfr2, 10/9/13; nz; m1; weak abs, ext. em",Q0207-BX240,1.986,,,,,,,,,,,
Q0207-BX243,2581537000.0,8.0,32.49426,-0.06495,1194.12,1559.42,BX243,Q0207,23.96,-0.04,0.17,yes,2.0417,2.035,2.0385,GAL,"msfr bx418, 10/12 and 9/13; nz; m2; has interv. sys @1.629",Q0207-BX243,2.0385,,,,,,,,,,,
Q0207-BX244,2301542100.0,23.0,32.49599,-0.05072,1435.77,1589.43,BX244,Q0207,24.54,0.25,1.13,yes,-2.0,2.518,-1.0,GAL,nz;  m3,Q0207-BX244,2.518,,,,,,,,,,,
Q0207-BX247,4496234500.0,14.0,32.49196,-0.12175,229.38,1518.12,BX247,Q0207,24.02,0.17,0.85,yes,2.425,2.418,2.4192,GAL,zneb msfr jhk1 oct15; nz; m9,Q0207-BX247,2.4192,,,,,,,,,,,
Q0207-BX251,2264335400.0,22.0,32.49002,-0.08951,777.08,1486.25,BX251,Q0207,24.19,0.3,0.92,yes,-2.0,1.964,1.9664,GAL,"msfr2 10/9/13; nz; m2; v.strong Lya abs, extra lines",Q0207-BX251,1.9664,,,,,,,,,,,
Q0207-BX253,1827150500.0,5.0,32.49095,-0.08374,875.06,1502.31,BX253,Q0207,24.84,0.18,0.41,yes,-2.0,2.09,2.1348,GAL,"rk_H,K; lris z could be wrong; zneb msfr, jhk1 oct15; y1; z from SiIV, CIV abs",Q0207-BX253,2.1348,,,,,,,,,,,
Q0207-BX255,7044105700.0,55.0,32.48914,-0.12155,232.87,1470.06,BX255,Q0207,23.29,0.32,1.07,yes,-2.0,2.372,-1.0,GAL,nz;  m2; huge Lya abs,Q0207-BX255,2.372,,,,,,,,,,,
Q0207-BX256,18660237000.0,7.0,32.48821,-0.08446,862.92,1455.59,BX256,Q0207,24.35,0.33,0.65,yes,1.726,1.723,-1.0,GAL,nz;  m9[ap1+ap2],Q0207-BX256,1.723,,,,,,,,,,,
Q0207-BX257,9866402800.0,6.0,32.48848,-0.07523,1019.69,1460.53,BX257,Q0207,24.48,0.41,0.83,yes,-2.0,-2.0,1.7154,GAL,msfr bx418 H 9/13; nz; m3+m10; removed z 2/14/2011,Q0207-BX257,1.7154,,,,,,,,,,,
Q0207-BX26,20762579000.0,13.0,32.41389,-0.06092,1265.21,189.84,BX26,Q0207,23.73,0.46,0.69,yes,-2.0,1.5557,-1.0,GAL,LM1; probably correct; use LM1; m10,Q0207-BX26,1.5557,,,,,,,,,,,
Q0207-BX261,4285525800.0,13.0,32.48835,-0.09924,611.86,1457.43,BX261,Q0207,24.06,0.21,0.71,yes,-2.0,1.978,-2.0,GAL,msfr2 10/9/13; nz; m9,Q0207-BX261,1.978,,,,,,,,,,,
Q0207-BX263,4412626400.0,13.0,32.48776,-0.0847,858.85,1447.91,BX263,Q0207,24.48,0.49,0.89,yes,-2.0,-2.0,1.6164,GAL,"msfr bx418 H 9/13;m3,m7[ap2] no ID",Q0207-BX263,1.6164,,,,,,,,,,,
Q0207-BX265,5498458100.0,10.0,32.48792,-0.08971,773.75,1450.45,BX265,Q0207,23.9,0.29,0.51,yes,-2.0,1.5957,1.5964,GAL,LM1; msfr bx418 H 9/13; also jhk1 oct15; m8,Q0207-BX265,1.5964,,,,,,,,,,,
Q0207-BX273,5779136500.0,11.0,32.48379,-0.08164,910.96,1380.36,BX273,Q0207,24.55,0.35,0.97,yes,-2.0,-2.0,2.5233,GAL,"was  z=2.057, which is now id'ed as BX273b, 1.6 from BX273;; ? ; rk_H,K; msfr2 10/9/13",Q0207-BX273,2.5233,,,,,,,,,,,
Q0207-BX275,736481090.0,14.0,32.48095,-0.0899,770.75,1331.66,BX275,Q0207,24.39,0.49,1.08,yes,-2.0,2.523,-2.0,GAL,"msfr2, 10/9/13nz; m9+y1; noisy but prob corr",Q0207-BX275,2.523,,,,,,,,,,,
Q0207-BX278,8593227800.0,54.0,32.47579,-0.09213,733.04,1243.63,BX278,Q0207,22.86,0.24,1.02,yes,1.827,1.8185,-1.0,GAL,,Q0207-BX278,1.8185,,,,,,,,,,,
Q0207-BX282,4459412500.0,14.0,32.48281,-0.13459,11.58,1361.7,BX282,Q0207,24.28,0.33,0.57,yes,2.434,-2.0,2.4283,GAL,zneb msfr jhk1 oct15; m8,Q0207-BX282,2.4283,,,,,,,,,,,
Q0207-BX283,1912870800.0,12.0,32.48,-0.09123,748.19,1315.42,BX283,Q0207,24.19,0.2,0.73,yes,-2.0,1.976,-1.0,GAL,nz;  m3+m8,Q0207-BX283,1.976,,,,,,,,,,,
Q0207-BX285,1354542000.0,8.0,32.48042,-0.08295,888.82,1322.88,BX285,Q0207,24.38,0.17,0.45,yes,2.1532,2.145,2.1504,GAL,"LM1; nz; m2; msfr bx418 H 9/13, K 10/12; also jhk1 oct15",Q0207-BX285,2.1504,,,,,,,,,,,
Q0207-BX288,2012759600.0,10.0,32.4787,-0.1132,375.05,1292.44,BX288,Q0207,24.32,-0.05,0.55,yes,2.4177,-2.0,2.415,GAL,LM1; zneb msfr jhk1 oct15; nz; m9; v. strong Lya em,Q0207-BX288,2.415,,,,,,,,,,,
