group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
Primary,GNB2102,25,50,150,50,^GNB,1,2.8360,False,,,237.9574583,19.2132444,15:51:49.790,+19:12:47.680,circle,,green,GNB2102,2.8360,color=green width=2 text={GNB2102} comment={2.8360},99
Primary,GNB2232,25,50,150,50,^GNB,1,2.9152,False,,,237.9599583,19.1749972,15:51:50.390,+19:10:29.990,circle,,green,GNB2232,2.91521,color=green width=2 text={GNB2232} comment={2.91521},100
Primary,GNB2249,50,50,150,50,^GNB,0,2.8664,True,,,237.9605417,19.1743139,15:51:50.530,+19:10:27.530,circle,,green,GNB2249,2.86635,color=green width=2 text={GNB2249} comment={2.86635},101
Primary,GNB2273,50,50,150,50,^GNB,0,2.8458,True,,,237.9615833,19.1761833,15:51:50.780,+19:10:34.260,circle,,green,GNB2273,2.84578,color=green width=2 text={GNB2273} comment={2.84578},102
Primary,GNB2273,50,50,150,50,^GNB,0,2.8463,True,,,237.9615833,19.1761833,15:51:50.780,+19:10:34.260,circle,,green,GNB2273,2.84627,color=green width=2 text={GNB2273} comment={2.84627},103
Primary,GNB2387,50,50,150,50,^GNB,0,2.8460,True,,,237.9637083,19.1771556,15:51:51.290,+19:10:37.760,circle,,green,GNB2387,2.84595,color=green width=2 text={GNB2387} comment={2.84595},104
Primary,GNB2387,50,50,150,50,^GNB,0,2.8467,True,,,237.9637083,19.1771556,15:51:51.290,+19:10:37.760,circle,,green,GNB2387,2.84669,color=green width=2 text={GNB2387} comment={2.84669},105
Primary,GNB2423,50,50,150,50,^GNB,0,2.8431,True,,,237.9646667,19.1796667,15:51:51.520,+19:10:46.800,circle,,green,GNB2423,2.8431,color=green width=2 text={GNB2423} comment={2.8431},106
Primary,GNB2512,25,50,150,50,^GNB,1,2.8387,False,,,237.9697500,19.1941417,15:51:52.740,+19:11:38.910,circle,,green,GNB2512,2.8387,color=green width=2 text={GNB2512} comment={2.8387},107
Primary,GNB2551,50,50,150,50,^GNB,0,2.8501,True,,,237.9667500,19.1779778,15:51:52.020,+19:10:40.720,circle,,green,GNB2551,2.85014,color=green width=2 text={GNB2551} comment={2.85014},108
Primary,GNB2554,50,50,150,50,^GNB,0,2.8770,True,,,237.9670833,19.1619333,15:51:52.100,+19:09:42.960,circle,,green,GNB2554,2.87704,color=green width=2 text={GNB2554} comment={2.87704},109
Primary,GNB2614,50,50,150,50,^GNB,0,2.8414,True,,,237.9683750,19.1687194,15:51:52.410,+19:10:07.390,circle,,green,GNB2614,2.84142,color=green width=2 text={GNB2614} comment={2.84142},110
Primary,GNB2624,25,50,150,50,^GNB,1,2.8398,False,,,237.9676667,19.1946889,15:51:52.240,+19:11:40.880,circle,,green,GNB2624,2.83978,color=green width=2 text={GNB2624} comment={2.83978},111
Primary,GNB2659,25,50,150,50,^GNB,1,2.8391,False,,,237.9702500,19.1947028,15:51:52.860,+19:11:40.930,circle,,green,GNB2659,2.8391,color=green width=2 text={GNB2659} comment={2.8391},112
Primary,GNB2664,25,50,150,50,^GNB,1,2.7666,False,,,237.9686667,19.2100361,15:51:52.480,+19:12:36.130,circle,,green,GNB2664,2.76665,color=green width=2 text={GNB2664} comment={2.76665},113
Primary,GNB2717,50,50,150,50,^GNB,0,2.8458,True,,,237.9700417,19.1752944,15:51:52.810,+19:10:31.060,circle,,green,GNB2717,2.84578,color=green width=2 text={GNB2717} comment={2.84578},114
Primary,GNB2717,50,50,150,50,^GNB,0,2.8469,True,,,237.9700417,19.1752944,15:51:52.810,+19:10:31.060,circle,,green,GNB2717,2.84693,color=green width=2 text={GNB2717} comment={2.84693},115
Primary,GNB2736,50,50,150,50,^GNB,0,2.8263,True,,,237.9705000,19.1884528,15:51:52.920,+19:11:18.430,circle,,green,GNB2736,2.82629,color=green width=2 text={GNB2736} comment={2.82629},116
Primary,GNB2754,25,50,150,50,^GNB,1,2.8317,False,,,237.9711667,19.1950222,15:51:53.080,+19:11:42.080,circle,,green,GNB2754,2.83171,color=green width=2 text={GNB2754} comment={2.83171},117
Primary,GNB2786,25,50,150,50,^GNB,1,2.8561,False,,,237.9727500,19.1955028,15:51:53.460,+19:11:43.810,circle,,green,GNB2786,2.8561,color=green width=2 text={GNB2786} comment={2.8561},118
Primary,GNB2837,50,50,150,50,^GNB,0,2.7977,True,,,237.9768333,19.1364250,15:51:54.440,+19:08:11.130,circle,,green,GNB2837,2.79766,color=green width=2 text={GNB2837} comment={2.79766},119
Primary,GNB297,25,50,150,50,^GNB,1,2.8473,False,,,237.9175417,19.1612722,15:51:40.210,+19:09:40.580,circle,,green,GNB297,2.84726,color=green width=2 text={GNB297} comment={2.84726},120
Primary,GNB2992,50,50,150,50,^GNB,0,2.8454,True,,,238.0254583,19.1935028,15:52:06.110,+19:11:36.610,circle,,green,GNB2992,2.8454,color=green width=2 text={GNB2992} comment={2.8454},121
Primary,GNB3034,25,50,150,50,^GNB,1,2.8649,False,,,238.0096250,19.1509694,15:52:02.310,+19:09:03.490,circle,,green,GNB3034,2.86486,color=green width=2 text={GNB3034} comment={2.86486},122
Primary,GNB3040,50,50,150,50,^GNB,0,2.8227,True,,,238.0089583,19.1761472,15:52:02.150,+19:10:34.130,circle,,green,GNB3040,2.82267,color=green width=2 text={GNB3040} comment={2.82267},123
Primary,GNB3094,50,50,150,50,^GNB,0,2.7335,True,,,237.9837500,19.1930361,15:51:56.100,+19:11:34.930,circle,,green,GNB3094,2.7335,color=green width=2 text={GNB3094} comment={2.7335},124
